YEAR-MONTH,RIDERSHIP,BUDGET ,COVERAGE ,POPULATION
2009_1,12100000,41683333,,592228
2009_2,11700000,41683333,,592228
2009_3,11900000,41683333,,592228
2009_4,12300000,41683333,,592228
2009_5,10200000,41683333,,592228
2009_6,10500000,41683333,,592228
2009_7,10200000,41683333,,592228
2009_8,10200000,41683333,,592228
2009_9,11300000,41683333,,592228
2009_10,11200000,41683333,,592228
2009_11,10900000,41683333,,592228
2009_12,11300000,41683333,,592228
2010_1,11800000,42175000,,604453
2010_2,11200000,42175000,,604453
2010_3,11400000,42175000,,604453
2010_4,11300000,42175000,,604453
2010_5,9800000,42175000,,604453
2010_6,9300000,42175000,,604453
2010_7,9600000,42175000,,604453
2010_8,7100000,42175000,,604453
2010_9,11000000,42175000,,604453
2010_10,10800000,42175000,,604453
2010_11,10300000,42175000,,604453
2010_12,10500000,42175000,,604453
2011_1,16000000,41683333,,620427
2011_2,16000000,41683333,,620427
2011_3,19700000,41683333,,620427
2011_4,19300000,41683333,,620427
2011_5,18400000,41683333,,620427
2011_6,20000000,41683333,,620427
2011_7,19500000,41683333,,620427
2011_8,18400000,41683333,,620427
2011_9,18000000,41683333,,620427
2011_10,18500000,41683333,,620427
2011_11,17200000,41683333,,620427
2011_12,16400000,41683333,,620427
2012_1,10800000,43350000,,635040
2012_2,10900000,43350000,,635040
2012_3,11700000,43350000,,635040
2012_4,11000000,43350000,,635040
2012_5,11600000,43350000,,635040
2012_6,11000000,43350000,,635040
2012_7,11200000,43350000,,635040
2012_8,11900000,43350000,,635040
2012_9,11300000,43350000,,635040
2012_10,11200000,43350000,,635040
2012_11,10800000,43350000,,635040
2012_12,10100000,43350000,,635040
2013_1,10700000,47083333,,649111
2013_2,10400000,47083333,,649111
2013_3,11300000,47083333,,649111
2013_4,11600000,47083333,,649111
2013_5,12100000,47083333,,649111
2013_6,11200000,47083333,,649111
2013_7,11800000,47083333,,649111
2013_8,11700000,47083333,,649111
2013_9,11700000,47083333,,649111
2013_10,12300000,47083333,,649111
2013_11,11000000,47083333,,649111
2013_12,10400000,47083333,,649111
2014_1,10500000,48275000,,658893
2014_2,10100000,48275000,,658893
2014_3,10800000,48275000,,658893
2014_4,11800000,48275000,,658893
2014_5,11800000,48275000,,658893
2014_6,11600000,48275000,,658893
2014_7,11900000,48275000,,658893
2014_8,11600000,48275000,,658893
2014_9,11900000,48275000,,658893
2014_10,12300000,48275000,,658893
2014_11,10200000,48275000,,658893
2014_12,10500000,48275000,,658893
