YEAR-MONTH,RIDERSHIP,BUDGET ,Coverage (miles),POPULATION
2009_1,21000000,63441666,,592228
2009_2,18500000,63441666,,592228
2009_3,18200000,63441666,,592228
2009_4,19700000,63441666,,592228
2009_5,16100000,63441666,,592228
2009_6,16400000,63441666,,592228
2009_7,18500000,63441666,,592228
2009_8,16600000,63441666,,592228
2009_9,19100000,63441666,,592228
2009_10,20300000,63441666,,592228
2009_11,18400000,63441666,,592228
2009_12,20100000,63441666,,592228
2010_1,20500000,65233333,,604453
2010_2,17900000,65233333,,604453
2010_3,17800000,65233333,,604453
2010_4,19000000,65233333,,604453
2010_5,16400000,65233333,,604453
2010_6,16000000,65233333,,604453
2010_7,16500000,65233333,,604453
2010_8,13400000,65233333,,604453
2010_9,20300000,65233333,,604453
2010_10,20800000,65233333,,604453
2010_11,18300000,65233333,,604453
2010_12,20300000,65233333,,604453
2011_1,9300000,67833333,,620427
2011_2,9700000,67833333,,620427
2011_3,11500000,67833333,,620427
2011_4,10800000,67833333,,620427
2011_5,10900000,67833333,,620427
2011_6,11100000,67833333,,620427
2011_7,10600000,67833333,,620427
2011_8,11400000,67833333,,620427
2011_9,11200000,67833333,,620427
2011_10,10900000,67833333,,620427
2011_11,10600000,67833333,,620427
2011_12,10400000,67833333,,620427
2012_1,16500000,67525000,,635040
2012_2,16600000,67525000,,635040
2012_3,19700000,67525000,,635040
2012_4,19000000,67525000,,635040
2012_5,19100000,67525000,,635040
2012_6,19500000,67525000,,635040
2012_7,18900000,67525000,,635040
2012_8,18200000,67525000,,635040
2012_9,16600000,67525000,,635040
2012_10,17400000,67525000,,635040
2012_11,16200000,67525000,,635040
2012_12,14600000,67525000,,635040
2013_1,17300000,74700000,,649111
2013_2,15700000,74700000,,649111
2013_3,17900000,74700000,,649111
2013_4,19700000,74700000,,649111
2013_5,18500000,74700000,,649111
2013_6,17900000,74700000,,649111
2013_7,19400000,74700000,,649111
2013_8,18000000,74700000,,649111
2013_9,16900000,74700000,,649111
2013_10,17200000,74700000,,649111
2013_11,15700000,74700000,,649111
2013_12,14700000,74700000,,649111
2014_1,15200000,80150000,,658893
2014_2,14400000,80150000,,658893
2014_3,16800000,80150000,,658893
2014_4,19500000,80150000,,658893
2014_5,18100000,80150000,,658893
2014_6,18300000,80150000,,658893
2014_7,19400000,80150000,,658893
2014_8,17600000,80150000,,658893
2014_9,17500000,80150000,,658893
2014_10,18800000,80150000,,658893
2014_11,15400000,80150000,,658893
2014_12,15700000,80150000,,658893
